DISTRICT,DISTRICT_CODE,STATE,STATE_CODE,GW_Status
AIZAWAL,261,MIZORAM,15,Safe
CHAMPHAI,262,MIZORAM,15,Safe
KOLASIB,263,MIZORAM,15,Safe
LAWNGTLAI,264,MIZORAM,15,Safe
LUNGLEI,265,MIZORAM,15,Safe
MAMIT,266,MIZORAM,15,Safe
SAIHA,267,MIZORAM,15,Safe
SERCHHIP,268,MIZORAM,15,Safe
KHAWZAWL,996,MIZORAM,15,Safe
HNAHTHIAL,994,MIZORAM,15,Safe
THIRUVALLUR,602,TAMIL NADU,33,Critical
CHENNAI,603,TAMIL NADU,33,Over-exploited
KRISHNAGIRI,631,TAMIL NADU,33,Critical
TIRUVANNAMALAI,606,TAMIL NADU,33,Critical
DHARMAPURI,630,TAMIL NADU,33,Critical
SALEM,608,TAMIL NADU,33,Over-exploited
ERODE,610,TAMIL NADU,33,Critical
THE NILGIRIS,611,TAMIL NADU,33,Safe
NAMAKKAL,609,TAMIL NADU,33,Critical
PERAMBALUR,615,TAMIL NADU,33,Safe
COIMBATORE,632,TAMIL NADU,33,Critical
TIRUCHIRAPPALLI,614,TAMIL NADU,33,Safe
ARIYALUR,616,TAMIL NADU,33,Safe
TIRUPPUR,633,TAMIL NADU,33,Safe
THANJAVUR,620,TAMIL NADU,33,Critical
KARUR,613,TAMIL NADU,33,Over-exploited
THIRUVARUR,619,TAMIL NADU,33,Safe
DINDIGUL,612,TAMIL NADU,33,Critical
MADURAI,623,TAMIL NADU,33,Critical
THENI,624,TAMIL NADU,33,Critical
VIRUDHUNAGAR,625,TAMIL NADU,33,Critical
THOOTHUKKUDI,627,TAMIL NADU,33,Safe
KANNIYAKUMARI,629,TAMIL NADU,33,Safe
VILUPPURAM,607,TAMIL NADU,33,Safe
CUDDALORE,617,TAMIL NADU,33,Critical
PUDUKKOTTAI,621,TAMIL NADU,33,Safe
SIVAGANGA,622,TAMIL NADU,33,Safe
RAMANATHAPURAM,626,TAMIL NADU,33,Safe
NAGAPATTINAM,618,TAMIL NADU,33,Over-exploited
KALLAKURICHI,729,TAMIL NADU,33,Safe
TENKASI,0,TAMIL NADU,33,Safe
TIRUNELVELI,628,TAMIL NADU,33,Critical
VELLORE,605,TAMIL NADU,33,Critical
RANIPET,0,TAMIL NADU,33,Safe
TIRUPATHUR,0,TAMIL NADU,33,Safe
KANCHEEPURAM,604,TAMIL NADU,33,Critical
CHENGALPATTU,0,TAMIL NADU,33,Safe
BURHANPUR,467,MADHYA PRADESH,23,Safe
GONDIYA,507,MAHARASHTRA,27,Safe
BHANDARA,506,MAHARASHTRA,27,Safe
JALGAON,499,MAHARASHTRA,27,Over-exploited
MAHASAMUND,411,CHHATTISGARH,22,Safe
WARDHA,504,MAHARASHTRA,27,Safe
BULDANA,500,MAHARASHTRA,27,Safe
VALSAD,491,GUJARAT,24,Safe
AKOLA,501,MAHARASHTRA,27,Safe
BHADRAK,378,ODISHA,21,Safe
DHENKANAL,383,ODISHA,21,Safe
