District,DISTRICT_CODE,State,STATE_CODE,Winter,Pre-Monsoon,SW-Monsoon,Post-Monsoon,Annual
NICOBARS,638,ANDAMAN AND NICOBAR,35,146,560,1516.9,645.8,2868.7
NORTH AND MIDDLE ANDAMAN,639,ANDAMAN AND NICOBAR,35,25.5,556.2,2534,941.3,4056.9
SOUTH ANDAMAN,640,ANDAMAN AND NICOBAR,35,129.8,679.6,1783.5,671.7,3264.5
ANANTAPUR,553,ANDHRA PRADESH,37,30.6,132,383.3,420.6,966.6
CHITTOOR,554,ANDHRA PRADESH,37,46.7,87.7,656.1,681.5,1471.9
EAST GODAVARI,545,ANDHRA PRADESH,37,2.8,99.3,942.6,198.8,1243.5
GUNTUR,548,ANDHRA PRADESH,37,4.9,66.8,738.9,223.7,1034.3
KRISHNA,547,ANDHRA PRADESH,37,2.7,86.7,875.4,211.9,1176.8
KURNOOL,552,ANDHRA PRADESH,37,19.9,113.4,421.9,195.8,751
PRAKASAM,549,ANDHRA PRADESH,37,14.2,106.1,360.2,351.9,832.4
S.P.S. NELLORE,550,ANDHRA PRADESH,37,86.1,34.2,332.8,969.1,1422.2
SRIKAKULAM,542,ANDHRA PRADESH,37,7.7,100.2,849,417.3,1374.2
VISAKHAPATNAM,544,ANDHRA PRADESH,37,0.7,175.2,888.4,199.3,1263.6
VIZIANAGARAM,543,ANDHRA PRADESH,37,3.6,141.9,974.2,251.4,1371.1
WEST GODAVARI,546,ANDHRA PRADESH,37,0.4,92.7,936.2,228.6,1258
YANAM,634,ANDHRA PRADESH,37,0,50,788,566.6,1404.6
Y.S.R.,551,ANDHRA PRADESH,37,45.5,117,529.4,636.9,1328.9
ANJAW,260,ARUNACHAL PRADESH,12,32.8,554.8,452.4,50.8,1090.8
CHANGLANG,253,ARUNACHAL PRADESH,12,9.2,311.4,877.8,90,1288.4
EAST KAMENG,247,ARUNACHAL PRADESH,12,1,389.4,1726.6,142.6,2259.6
EAST SIANG,251,ARUNACHAL PRADESH,12,27,637.6,2540.7,342.4,3547.7
KURUNG KUMEY,256,ARUNACHAL PRADESH,12,57.3,724,829.8,132.8,1743.9
LOHIT,259,ARUNACHAL PRADESH,12,9,352.3,833.9,95.5,1290.7
LOWER DIBANG VALLEY,258,ARUNACHAL PRADESH,12,41.9,565.5,2464.9,226.3,3298.6
LOWER SUBANSIRI,255,ARUNACHAL PRADESH,12,46.8,381.4,475.3,42.6,946.1
PAPUM PARE,248,ARUNACHAL PRADESH,12,34.4,683.3,1953.8,95.7,2767.1
TAWANG,245,ARUNACHAL PRADESH,12,41.2,439.9,966.5,160.8,1608.4
TIRAP,254,ARUNACHAL PRADESH,12,60.2,,1016.8,,
UPPER SIANG,252,ARUNACHAL PRADESH,12,48,1108,1802.4,210.7,3169
UPPER SUBANSIRI,249,ARUNACHAL PRADESH,12,48.4,391,634.1,115.4,1188.9
WEST KAMENG,246,ARUNACHAL PRADESH,12,28.9,275.9,1233.7,152.3,1690.8
WEST SIANG,250,ARUNACHAL PRADESH,12,61.3,508.9,1334.7,126.3,2031.2
BAKSA,324,ASSAM,18,42.6,384.3,1338.5,37.6,1802.9
BARPETA,303,ASSAM,18,66.6,393.9,1964.2,202.4,2627.1
BONGAIGAON,319,ASSAM,18,7.2,264.6,1361.4,301.6,1934.8
CACHAR,316,ASSAM,18,7.6,618.1,1711.3,231,2568
CACHAR,316,ASSAM,18,0,491.9,652.3,203.7,1347.9
CHIRANG,320,ASSAM,18,18.8,387.6,2257.6,262.4,2926.4
DARRANG,325,ASSAM,18,2,,841.9,52.7,
DHEMAJI,308,ASSAM,18,17.8,413.9,1588.3,143,2163
DHUBRI,301,ASSAM,18,0.2,371.3,1194.7,275.1,1841.3
DIBRUGARH,310,ASSAM,18,16.8,401.9,1103.8,96.6,1619.1
GOALPARA,302,ASSAM,18,0,369.9,1415.8,206.6,1992.2
GOLAGHAT,313,ASSAM,18,25.7,259.7,925.1,109.1,1319.6
HAILAKANDI,318,ASSAM,18,12.6,,1279.2,265.1,
JORHAT,312,ASSAM,18,5.7,351.2,982.4,131,1470.3
KAMRUP,321,ASSAM,18,3,251.7,844.7,22,1121.4
KAMRUP METROPOLITAN,322,ASSAM,18,6.1,278,709.1,86.3,1079.4
